A1,dnmt1,wt
A2,dnmt1,wt
A3,dnmt1,wt
A4,dnmt1,wt2
A5,dnmt1,wt2
A6,dnmt1,wt2
A7,dnmt1,wt3
A8,dnmt1,wt3
A9,dnmt1,wt3
A10,dnmt1,wt5
A11,dnmt1,wt5
A12,dnmt1,wt5
A13,dnmt1,water
A14,dnmt1,water
A15,dnmt1,water
A16,dnmt3a,wt
A17,dnmt3a,wt
A18,dnmt3a,wt
A19,dnmt3a,wt2
A20,dnmt3a,wt2
A21,dnmt3a,wt2
A22,dnmt3a,wt3
A23,dnmt3a,wt3
A24,dnmt3a,wt3
B1,dnmt3a,wt5
B2,dnmt3a,wt5
B3,dnmt3a,wt5
B4,dnmt3a,water
B5,dnmt3a,water
B6,dnmt3a,water
B7,dnmt3b,wt
B8,dnmt3b,wt
B9,dnmt3b,wt
B10,dnmt3b,wt2
B11,dnmt3b,wt2
B12,dnmt3b,wt2
B13,dnmt3b,wt3
B14,dnmt3b,wt3
B15,dnmt3b,wt3
B16,dnmt3b,wt5
B17,dnmt3b,wt5
B18,dnmt3b,wt5
B19,dnmt3b,water
B20,dnmt3b,water
B21,dnmt3b,water
