A1,GAPDH,wt
A2,GAPDH,wt
A3,GAPDH,wt
A4,GAPDH,nr1
A5,GAPDH,nr1
A6,GAPDH,nr1
A7,GAPDH,nr2
A8,GAPDH,nr2
A9,GAPDH,nr2
A10,GAPDH,nr3
A11,GAPDH,nr3
A12,GAPDH,nr3
A13,GAPDH,nr4
A14,GAPDH,nr4
A15,GAPDH,nr4
A16,GAPDH,water
A17,GAPDH,water
A18,GAPDH,water
A19,TET1,wt
A20,TET1,wt
A21,TET1,wt
A22,TET1,nr1
A23,TET1,nr1
A24,TET1,nr1
B1,TET1,nr2
B2,TET1,nr2
B3,TET1,nr2
B4,TET1,nr3
B5,TET1,nr3
B6,TET1,nr3
B7,TET1,nr4
B8,TET1,nr4
B9,TET1,nr4
B10,TET1,water
B11,TET1,water
B12,TET1,water
B13,TET2,wt
B14,TET2,wt
B15,TET2,wt
B16,TET2,nr1
B17,TET2,nr1
B18,TET2,nr1
B19,TET2,nr2
B20,TET2,nr2
B21,TET2,nr2
B22,TET2,nr3
B23,TET2,nr3
B24,TET2,nr3
C1,TET2,nr4
C2,TET2,nr4
C3,TET2,nr4
C4,TET2,water
C5,TET2,water
C6,TET2,water
C7,TET3,wt
C8,TET3,wt
C9,TET3,wt
C10,TET3,nr1
C11,TET3,nr1
C12,TET3,nr1
C13,TET3,nr2
C14,TET3,nr2
C15,TET3,nr2
C16,TET3,nr3
C17,TET3,nr3
C18,TET3,nr3
C19,TET3,nr4
C20,TET3,nr4
C21,TET3,nr4
C22,TET3,water
C23,TET3,water
C24,TET3,water
D1,DNMT1,wt
D2,DNMT1,wt
D3,DNMT1,wt
D4,DNMT1,nr1
D5,DNMT1,nr1
D6,DNMT1,nr1
D7,DNMT1,nr2
D8,DNMT1,nr2
D9,DNMT1,nr2
D10,DNMT1,nr3
D11,DNMT1,nr3
D12,DNMT1,nr3
D13,DNMT1,nr4
D14,DNMT1,nr4
D15,DNMT1,nr4
D16,DNMT1,water
D17,DNMT1,water
D18,DNMT1,water
