A1,HPRT,Dnmt1
A2,HPRT,Dnmt1
A3,HPRT,Dnmt1
A4,HPRT,Uhrf1
A5,HPRT,Uhrf1
A6,HPRT,Uhrf1
A7,HPRT,Setdb1
A8,HPRT,Setdb1
A9,HPRT,Setdb1
A10,HPRT,Daxx
A11,HPRT,Daxx
A12,HPRT,Daxx
A13,HPRT,water
A14,HPRT,water
A15,HPRT,water
A16,IAPEz,Dnmt1
A17,IAPEz,Dnmt1
A18,IAPEz,Dnmt1
A19,IAPEz,Uhrf1
A20,IAPEz,Uhrf1
A21,IAPEz,Uhrf1
A22,IAPEz,Setdb1
A23,IAPEz,Setdb1
A24,IAPEz,Setdb1
B1,IAPEz,Daxx
B2,IAPEz,Daxx
B3,IAPEz,Daxx
B4,IAPEz,water
B5,IAPEz,water
B6,IAPEz,water
B7,MusD,Dnmt1
B8,MusD,Dnmt1
B9,MusD,Dnmt1
B10,MusD,Uhrf1
B11,MusD,Uhrf1
B12,MusD,Uhrf1
B13,MusD,Setdb1
B14,MusD,Setdb1
B15,MusD,Setdb1
B16,MusD,Daxx
B17,MusD,Daxx
B18,MusD,Daxx
B19,MusD,water
B20,MusD,water
B21,MusD,water
B22,MervL,Dnmt1
B23,MervL,Dnmt1
B24,MervL,Dnmt1
C1,MervL,Uhrf1
C2,MervL,Uhrf1
C3,MervL,Uhrf1
C4,MervL,Setdb1
C5,MervL,Setdb1
C6,MervL,Setdb1
C7,MervL,Daxx
C8,MervL,Daxx
C9,MervL,Daxx
C10,MervL,water
C11,MervL,water
C12,MervL,water
