A1,f,b
A2,f,b
A3,f,b
A4,f,l
A5,f,l
A6,f,l
A7,f,u
A8,f,u
A9,f,u
A10,f,b
A11,f,b
A12,f,b
A13,f,water
A14,f,water
A15,f,water
A16,g,b
A17,g,b
A18,g,b
A19,g,l
A20,g,l
A21,g,l
A22,g,u
A23,g,u
A24,g,u
B1,g,b
B2,g,b
B3,g,b
B4,g,water
B5,g,water
B6,g,water
B7,g,b
B8,g,b
B9,g,b
B10,g,l
B11,g,l
B12,g,l
B13,g,u
B14,g,u
B15,g,u
B16,g,b
B17,g,b
B18,g,b
B19,g,water
B20,g,water
B21,g,water
B22,f,b
B23,f,b
B24,f,b
C1,f,l
C2,f,l
C3,f,l
C4,f,u
C5,f,u
C6,f,u
C7,f,b
C8,f,b
C9,f,b
C10,f,water
C11,f,water
C12,f,water
